Component,q1,q2,q3,q4,q5,q6,q7,Energy,Error,Num_Transitions,E_marvel,e_E_marvel,Residual
0,0,0,0,0,0,1,e,0.0,,59,0.0,0.0,0.0
0,0,0,0,0,1,1,e,2322.435433011997,0.0015721812872566572,2,2322.4351855707,0.001574,0.0002474412967785611
0,0,1,0,0,0,1,e,1355.6544291253485,0.001044030650891055,1,1355.6544223136,0.001044,6.8117485625407426e-06
0,0,1,0,0,0,2,e,1244.593950423399,0.00030066592756745815,2,1244.5939362127,0.0003007,1.4210698964234325e-05
0,0,1,0,0,1,1,e,3655.1218671584097,0.0013361713961913717,3,3655.1224028811,0.001338,-0.0005357226900741807
0,0,1,0,0,1,2,e,3547.2814047881,0.0015721812872566572,2,3547.2811573468,0.001574,0.0002474413004165399
0,0,1,0,0,2,1,e,5930.289413130404,0.0015721812872566572,1,5930.2891656891,0.001574,0.0002474413040545187
0,0,1,0,0,2,2,e,5825.332293130404,0.0015721812872566572,2,5825.3320456891,0.001574,0.0002474413040545187
0,0,2,0,0,0,2,e,2585.6660231304036,0.0015721812872566572,1,2585.6657756891,0.001574,0.00024744130359977135
0,0,2,0,0,0,3,e,2473.490373130404,0.0015721812872566572,1,2473.4901256891,0.001574,0.0002474413040545187
0,0,2,0,0,1,1,e,5013.945997947574,0.0012157935680040424,2,5013.9457505063,0.001218,0.00024744127404119354
0,0,2,0,0,1,2,e,4866.9020061491965,0.0012133235347589694,2,4866.9017587079,0.001216,0.0002474412967785611
0,0,2,0,0,1,3,e,4755.559344999526,0.0012133235347589694,3,4755.5590975582,0.001216,0.00024744132588239154
0,0,3,0,0,1,1,e,6391.961113130404,0.0015721812872566572,1,6391.9608656891,0.001574,0.0002474413040545187
0,0,3,0,0,1,2,e,6207.760213130404,0.0015721812872566572,1,6207.7599656891,0.001574,0.0002474413040545187
0,0,3,0,0,1,3,e,6073.762105609088,0.0013361713961913717,2,6073.7618581678,0.001338,0.00024744128859310877
0,0,3,0,0,1,4,e,5946.978913130403,0.0015721812872566572,1,5946.9786656891,0.001574,0.000247441303145024
0,0,4,0,0,1,2,e,7570.713613130403,0.0015721812872566572,1,7570.7133656891,0.001574,0.000247441303145024
0,0,4,0,0,1,3,e,7399.615113130403,0.0015721812872566572,1,7399.6148656891,0.001574,0.000247441303145024
0,0,4,0,0,1,4,e,7271.590113130404,0.0015721812872566572,1,7271.5898656891,0.001574,0.000247441303145024
0,1,0,0,0,0,1,e,0.7142131304037775,0.0012131586870644747,62,0.7139656891,0.001215,0.00024744130377751805
0,1,0,0,0,1,1,e,2323.1427783336458,2.256102834535696e-05,5,2323.1427647104,2.256e-05,1.3623245649796445e-05
0,1,0,0,0,2,1,e,4621.031699798772,0.0003,2,4621.0316986739,0.0003,1.1248721420997754e-06
0,1,0,0,0,3,1,e,6894.408795,0.001,2,6894.408795,0.001,0.0
0,1,0,1,1,0,1,e,660.4159246540202,0.0011010903686800644,15,660.4151910842,0.001181,0.000733569820113189
0,1,0,1,1,0,1,f,660.4181199777847,0.0007107292030020998,14,660.4171610562,0.0007472,0.0009589215846972365
0,1,0,1,1,1,1,e,2970.532875011658,0.0012693053218197738,1,2970.5322497741,0.00129,0.0006252375578696956
0,1,0,1,1,1,1,f,2970.537038528766,0.0014911740341086953,1,2970.5369032431,0.001532,0.00013528566614695592
0,1,0,1,1,3,1,e,7517.262715011658,0.0012693053218197738,1,7517.2620897741,0.00129,0.0006252375578696956
0,1,0,1,1,3,1,f,7517.266878528766,0.0014911740341086953,1,7517.2667432431,0.001532,0.00013528566614695592
0,1,1,0,0,0,1,e,1356.3686635716385,0.0012502615726319032,3,1356.3704805978,0.001602,-0.0018170261614613992
0,1,1,0,0,0,2,e,1245.307623145941,0.0012496615541817712,2,1245.3076267521,0.001252,-3.60615899808181e-06
0,1,1,0,0,1,1,e,3655.8314491253486,0.0003,7,3655.8314423136,0.0003,6.811748789914418e-06
0,1,1,0,0,1,2,e,3547.988868159202,0.0003,7,3547.988861852,0.0003,6.307202056632377e-06
0,1,1,0,0,2,1,e,5930.9921853406895,0.00100024996875781,1,5930.9921717172,0.001,1.362348939437652e-05
0,1,1,0,0,2,2,e,5826.034397670344,0.001,4,5826.0343908586,0.001,6.811744242440909e-06
0,1,1,0,0,3,2,e,8079.45818534069,0.002000124996093994,1,8079.4581717172,0.002,1.3623490303871222e-05
0,1,1,1,1,0,1,e,2036.7532053406894,0.00100024996875781,1,2036.7531917172,0.001,1.362348939437652e-05
0,1,1,1,1,1,1,e,4323.9423050116575,0.0012693053218197738,1,4323.9416797741,0.00129,0.0006252375578696956
0,1,1,1,1,1,1,f,4323.946468528766,0.0014911740341086953,1,4323.9463332431,0.001532,0.00013528566614695592
0,1,1,1,1,1,2,e,4175.778040607846,0.0007714505816965853,3,4175.777350206,0.0008052,0.000690401846441091
0,1,1,1,1,1,2,f,4175.778458272256,0.0011412274094149684,3,4175.7775863561,0.001219,0.0008719161560293287
0,1,1,1,1,2,1,f,6586.836813130403,0.0015721812872566572,1,6586.8365656891,0.001574,0.000247441303145024
0,1,1,1,1,2,2,e,6441.543995011658,0.0012693053218197738,2,6441.5433697741,0.00129,0.0006252375578696956
0,1,1,1,1,2,2,f,6441.547038892214,0.0014874138630522442,2,6441.5465483867,0.001548,0.0004905055138806347
0,1,2,0,0,0,1,e,2738.9571653406892,0.00100024996875781,1,2738.9571517172,0.001,1.362348939437652e-05
0,1,2,0,0,0,2,e,2586.381207670345,0.001,2,2586.3812008586,0.001,6.81174469718826e-06
0,1,2,0,0,0,3,e,2474.2040276703447,0.001,2,2474.2040208586,0.001,6.81174469718826e-06
0,1,2,0,0,1,1,e,5014.65574401999,4.582575694955841e-05,5,5014.6557484097,4.583e-05,-4.389709829411004e-06
0,1,2,0,0,1,2,e,4867.609241315006,2e-05,10,4867.6092304093,2e-05,1.0905706403718796e-05
0,1,2,0,0,1,3,e,4756.267499531791,2.4494897427831785e-05,7,4756.2674820161,2.449e-05,1.7515691070002504e-05
0,1,2,0,0,2,2,e,7124.5941,0.001,1,7124.5941,0.001,0.0
0,1,2,1,1,1,1,e,5695.487965011657,0.0012693053218197738,1,5695.4873397741,0.00129,0.0006252375569602009
